Assembly	N_contigs_0_bp	N_contigs_1000_bp	N_contigs_5000_bp	N_contigs_10000_bp	N_contigs_25000_bp	N_contigs_50000_bp	Total_length_0_bp	Total_length_1000_bp	Total_length_5000_bp	Total_length_10000_bp	Total_length_25000_bp	Total_length_50000_bp	N_contigs	Largest_contig	Total_length	GC	N50	N75	L50	L75	N_N_s_per_100_kbp	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	dunno	species	useGenome
AMB-F197	295	30	18	15	13	12	3569906	3488168	3460041	3437699	3408701	3372858	52	641146	3501388	42.85	417705	247873	4	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	isolate	TRUE
AMB-F209	345	79	66	56	35	23	3680323	3572814	3532877	3461185	3137653	2722328	111	573187	3589692	42.73	91273	53560	10	23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	isolate	TRUE
AMB-F249	361	53	39	33	29	22	3624026	3543915	3506296	3460131	3395774	3142846	69	467322	3554025	42.83	174980	68607	7	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	isolate	TRUE
GCA_000023085	1	1	1	1	1	1	3197759	3197759	3197759	3197759	3197759	3197759	1	3197759	3197759	44.66	3197759	3197759	1	1	0.09	PRJNA32969	SAMN02603864	NA	na	644042	1590	Lactobacillus plantarum JDM1	strain=JDM1	NA	latest	Complete Genome	Major	Full	2009-07-17	ASM2308v1	Shanghai Jiao Tong University School of Medicine	GCF_000023085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/085/GCA_000023085.1_ASM2308v1	NA	NA	plantarum	TRUE
GCA_000143745	9	9	9	8	8	8	3212261	3212261	3212261	3205042	3205042	3205042	9	693713	3212261	44.48	554392	309096	3	5	420.26	PRJNA31515	SAMN00001478	ACGZ00000000.2	na	525338	1590	Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437	strain=ATCC 14917	NA	latest	Scaffold	Major	Full	2010-07-22	ASM14374v1	Baylor College of Medicine	GCF_000143745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/745/GCA_000143745.1_ASM14374v1	NA	assembly from type material	plantarum	TRUE
GCA_000148815	2	2	2	2	2	2	3307936	3307936	3307936	3307936	3307936	3307936	2	3254376	3307936	44.48	3254376	3254376	1	1	0	PRJNA52949	SAMN02603896	NA	na	889932	1590	Lactobacillus plantarum subsp. plantarum ST-III	strain=ST-III	NA	latest	Complete Genome	Major	Full	2011-07-29	ASM14881v1	Technology Center of Bright Dairy & Food Co., Ltd	GCF_000148815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/815/GCA_000148815.2_ASM14881v1	NA	NA	plantarum	TRUE
GCA_000203855	4	4	2	2	2	1	3348624	3348624	3344342	3344342	3344342	3308273	4	3308273	3348624	44.42	3308273	3308273	1	1	0	PRJNA356	SAMEA3138345	NA	reference genome	220668	1590	Lactobacillus plantarum WCFS1	strain=WCFS1	NCIMB8826	latest	Complete Genome	Major	Full	2011-08-01	ASM20385v3	Wageningen Centre for Food Sciences	GCF_000203855.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/855/GCA_000203855.3_ASM20385v3	NA	NA	plantarum	TRUE
GCA_000247735	10	10	10	10	9	7	3207224	3207224	3207224	3207224	3195206	3126580	10	832807	3207224	44.56	786373	341542	2	4	0.41	PRJNA67175	SAMN02470702	AGRI00000000.1	na	1036177	1590	Lactobacillus plantarum subsp. plantarum NC8	NA	NA	latest	Contig	Major	Full	2012-02-16	ASM24773v2	CMBI Radboud University Medical Centre, Nijmegen	GCF_000247735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/735/GCA_000247735.2_ASM24773v2	NA	NA	plantarum	TRUE
GCA_000271445	1	1	1	1	1	1	3426323	3426323	3426323	3426323	3426323	3426323	1	3426323	3426323	46.4	3426323	3426323	1	1	239.32	PRJNA81575	SAMN02469614	AKAO00000000.1	na	1136177	1589	Lactobacillus pentosus KCA1	strain=KCA1	NA	latest	Chromosome	Major	Full	2012-06-29	KCA1_v9	CMBI	GCF_000271445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/445/GCA_000271445.1_KCA1_v9	NA	NA	pentosus	TRUE
GCA_000338115	4	4	4	4	3	1	3299755	3299755	3299755	3299755	3284588	3203964	4	3203964	3299755	44.49	3203964	3203964	1	1	0	PRJNA186807	SAMN02604341	NA	na	1284663	1590	Lactobacillus plantarum ZJ316	strain=ZJ316	NA	latest	Complete Genome	Major	Full	2013-07-31	ASM33811v2	Zhejiang Gongshang University	GCF_000338115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/115/GCA_000338115.2_ASM33811v2	NA	NA	plantarum	TRUE
