Assembly	species	cladeNumber	subspecies	strain	cladeNumber_split	cladeName
AMB-F197	isolate	clade1			clade1	L. mudanjiangensis
AMB-F209	isolate	clade1			clade1	L. mudanjiangensis
AMB-F249	isolate	clade1			clade1	L. mudanjiangensis
GCA_000023085	plantarum	clade7		JDM1	clade7	L. plantarum
GCA_000143745	plantarum	clade7	subsp. plantarum	ATCC 14917	clade7	L. plantarum
GCA_000148815	plantarum	clade7	subsp. plantarum	ST-III	clade7	L. plantarum
GCA_000203855	plantarum	clade7		WCFS1	clade7	L. plantarum
GCA_000247735	plantarum	clade7	subsp. plantarum		clade7	L. plantarum
GCA_000271445	pentosus	clade5		KCA1	clade5a	clade5a
GCA_000338115	plantarum	clade7		ZJ316	clade7	L. plantarum
GCA_000347515	plantarum	clade7		UCMA 3037	clade7	L. plantarum
GCA_000392485	plantarum	clade7	subsp. plantarum	plantarum	clade7	L. plantarum
GCA_000410795	plantarum	clade7		IPLA88	clade7	L. plantarum
GCA_000412205	plantarum	clade7		16	clade7	L. plantarum
GCA_000463075	plantarum	clade5		EGD-AQ4	clade5a	clade5a
GCA_000466845	plantarum	clade7		2165	clade7	L. plantarum
GCA_000466905	plantarum	clade7		2025	clade7	L. plantarum
GCA_000469115	plantarum	clade6		AY01	clade6	L. paraplantarum
GCA_000473935	plantarum	clade7		LP91	clade7	L. plantarum
GCA_000474695	plantarum	clade7		WJL	clade7	L. plantarum
GCA_000498955	fabifermentans	clade2		DSM 21115	clade2	L. fabifermentans
GCA_000507045	plantarum	clade7		4_3	clade7	L. plantarum
GCA_000565485	fabifermentans	clade2		T30PCM01	clade2	L. fabifermentans
GCA_000604105	plantarum	clade7		DOMLa	clade7	L. plantarum
GCA_000604145	plantarum	clade7		WHE 92	clade7	L. plantarum
GCA_000604365	plantarum	clade7		19L3	clade7	L. plantarum
GCA_000615325	plantarum	clade7	subsp. plantarum	JCM 1149	clade7	L. plantarum
GCA_000648755	plantarum	clade7	subsp. plantarum	wikim18	clade7	L. plantarum
GCA_000687495	plantarum	clade7		AG30	clade7	L. plantarum
GCA_000731855	plantarum	clade7		Lp90	clade7	L. plantarum
GCA_000743895	plantarum	clade7		DmCS_001	clade7	L. plantarum
GCA_000758145	paraplantarum	clade6		L-ZS9	clade6	L. paraplantarum
GCA_000762955	plantarum	clade7		CMPG5300	clade7	L. plantarum
GCA_000764285	plantarum	clade7		FMNP01	clade7	L. plantarum
GCA_000830535	plantarum	clade7		90sk	clade7	L. plantarum
GCA_000931425	plantarum	clade7		B21	clade7	L. plantarum
GCA_000956195	plantarum	clade7		CIP104448	clade7	L. plantarum
GCA_000966475	plantarum	clade7		NL42	clade7	L. plantarum
GCA_001005695	plantarum	clade7		TIFN101	clade7	L. plantarum
GCA_001005805	plantarum	clade7		PS128	clade7	L. plantarum
GCA_001010175	plantarum	clade7		8 RA-3	clade7	L. plantarum
GCA_001039045	herbarum	clade4		TCF032-E4	clade4	L. herbarum
GCA_001188985	pentosus	clade5		FL0421	clade5b	L. pentosus
GCA_001267905	plantarum	clade7		L31-1	clade7	L. plantarum
GCA_001272315	plantarum	clade7	subsp. plantarum	CGMCC 1.557	clade7	L. plantarum
GCA_001273585	plantarum	clade7		SNU.Lp177	clade7	L. plantarum
GCA_001278015	plantarum	clade7		5-2	clade7	L. plantarum
GCA_001296095	plantarum	clade7		ZS2058	clade7	L. plantarum
GCA_001302645	plantarum	clade7		HFC8	clade7	L. plantarum
GCA_001307325	plantarum	clade7		WJL	clade7	L. plantarum
GCA_001308305	plantarum	clade7		Nizo2877	clade7	L. plantarum
GCA_001331925	plantarum	clade7		WLPL04	clade7	L. plantarum
GCA_001368775	plantarum	clade7		80	clade7	L. plantarum
GCA_001433755	pentosus	clade5		DSM 20314	clade5b	L. pentosus
GCA_001434175	plantarum	clade7	subsp. plantarum	CGMCC 1.2437	clade7	L. plantarum
GCA_001435215	plantarum	clade7	subsp. argentoratensis	DSM 16365	clade7	L. plantarum
GCA_001435655	paraplantarum	clade6		DSM 10667	clade6	L. paraplantarum
GCA_001436855	plantarum	clade7		DSM 13273	clade7	L. plantarum
GCA_001438845	xiangfangensis	clade3		LMG 26013	clade3	L. xiangfangensis
GCA_001443645	paraplantarum	clade6		L-ZS9	clade6	L. paraplantarum
GCA_001444495	plantarum	clade7		CRL 1506	clade7	L. plantarum
GCA_001484005	plantarum	clade7		LZ95	clade7	L. plantarum
GCA_001540925	plantarum	clade7		Lp1610	clade7	L. plantarum
GCA_001540965	plantarum	clade7		Lp1612	clade7	L. plantarum
GCA_001581895	plantarum	clade7		Zhang-LL	clade7	L. plantarum
GCA_001595615	plantarum	clade7		43-3	clade7	L. plantarum
GCA_001596095	plantarum	clade7		JBE245	clade7	L. plantarum
GCA_001596195	plantarum	clade7		E2C2	clade7	L. plantarum
GCA_001597605	plantarum	clade7		E2C5	clade7	L. plantarum
GCA_001617525	plantarum	clade7		CAUH2	clade7	L. plantarum
GCA_001619265	plantarum	clade7		FBR5	clade7	L. plantarum
GCA_001619275	plantarum	clade7		FBR4	clade7	L. plantarum
GCA_001619295	plantarum	clade7		FBR6	clade7	L. plantarum
GCA_001633245	plantarum	clade7		ER	clade7	L. plantarum
GCA_001633255	plantarum	clade7		NAB2	clade7	L. plantarum
GCA_001633265	plantarum	clade7		19.1	clade7	L. plantarum
GCA_001633285	plantarum	clade7		CNW10	clade7	L. plantarum
GCA_001633325	plantarum	clade7		Nizo2484	clade7	L. plantarum
GCA_001633335	plantarum	clade7		Nizo2485	clade7	L. plantarum
GCA_001633355	plantarum	clade7		Nizo2494	clade7	L. plantarum
GCA_001633385	plantarum	clade7		Nizo2726	clade7	L. plantarum
GCA_001633405	plantarum	clade7		Nizo2535	clade7	L. plantarum
GCA_001633415	plantarum	clade7		Nizo2741	clade7	L. plantarum
GCA_001633435	plantarum	clade7		Nizo2753	clade7	L. plantarum
GCA_001633455	plantarum	clade7		Nizo2776	clade7	L. plantarum
GCA_001633485	plantarum	clade7		Nizo2757	clade7	L. plantarum
